Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
doxorubicin,phen_tp_thrombocytopenia,12,4,33.33,27.0,1.0,12.0,2.0,4.0,0.0,1.0,0.0,14.81,0.0,8.33,0.0
doxorubicin,phen_sig_tp_noFP_Sig_thrombocytopenia,14,4,28.57,27.0,1.0,12.0,2.0,4.0,0.0,0.0,0.0,14.81,0.0,0.0,0.0
doxorubicin,myocardial infarction,5,2,40.0,27.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0
doxorubicin,old myocardial infarction,15,6,40.0,27.0,1.0,12.0,2.0,6.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0
doxorubicin,acute myocardial infarction,6,1,16.67,27.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0
doxorubicin,phen_sig_tp_noFP_Sig_myocardial infarction,17,4,23.53,27.0,1.0,12.0,2.0,4.0,0.0,0.0,0.0,14.81,0.0,0.0,0.0
probenecid,hypertension,8,1,12.5,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,prehypertension,17,4,23.53,21.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,19.05,33.33,20.0,100.0
probenecid,hypertensive disease,15,3,20.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,genetic hypertension,8,1,12.5,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,pulmonary hypertension,22,3,13.64,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,essential hypertension,7,3,42.86,21.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,14.29,33.33,20.0,100.0
probenecid,"hypertension, renovascular",14,2,14.29,21.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0
probenecid,idiopathic pulmonary hypertension,11,1,9.09,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,renal hypertension,3,0,0.0,21.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probenecid,ocular hypertension,19,5,26.32,21.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0
probenecid,"hypertension, portal",0,0,0.0,21.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probenecid,phen_tp_hypertension,6,3,50.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,phen_sig_tp_noFP_Dis_hypertension,5,3,60.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,phen_sig_tp_noFP_Sig_hypertension,19,4,21.05,21.0,3.0,5.0,1.0,4.0,0.0,0.0,0.0,19.05,0.0,0.0,0.0
probenecid,pancreatitis,10,3,30.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,acute pancreatitis,17,3,17.65,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,pancreatitis idiopathic,10,2,20.0,21.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0
probenecid,adenocarcinoma of pancreas,3,0,0.0,21.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probenecid,phen_tp_pancreatitis,4,1,25.0,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,phen_sig_tp_noFP_Sig_pancreatitis,17,4,23.53,21.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,19.05,33.33,20.0,100.0
probenecid,thrombocytopenia 5,8,3,37.5,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,thrombocytopenia 6,17,4,23.53,21.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,19.05,33.33,20.0,100.0
probenecid,macrothrombocytopenia,5,1,20.0,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,idiopathic thrombocytopenia,15,4,26.67,21.0,3.0,5.0,1.0,4.0,0.0,0.0,0.0,19.05,0.0,0.0,0.0
probenecid,thrombocytopenia due to platelet alloimmunization,15,2,13.33,21.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0
probenecid,phen_tp_thrombocytopenia,12,2,16.67,21.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,9.52,33.33,20.0,100.0
probenecid,phen_sig_tp_noFP_Sig_thrombocytopenia,14,3,21.43,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,myocardial infarction,5,1,20.0,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
probenecid,old myocardial infarction,15,3,20.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,acute myocardial infarction,6,3,50.0,21.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
probenecid,phen_sig_tp_noFP_Sig_myocardial infarction,17,2,11.76,21.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0
cinacalcet,hypertension,8,1,12.5,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,prehypertension,17,2,11.76,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,hypertensive disease,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,genetic hypertension,8,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,pulmonary hypertension,22,1,4.55,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,essential hypertension,7,1,14.29,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,"hypertension, renovascular",14,1,7.14,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,idiopathic pulmonary hypertension,11,1,9.09,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,renal hypertension,3,1,33.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,ocular hypertension,19,2,10.53,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,"hypertension, portal",0,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,phen_tp_hypertension,6,2,33.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Sig_hypertension,19,2,10.53,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,pancreatitis,10,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,acute pancreatitis,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,pancreatitis idiopathic,10,1,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,adenocarcinoma of pancreas,3,1,33.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_tp_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,thrombocytopenia 5,8,1,12.5,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,thrombocytopenia 6,17,2,11.76,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,macrothrombocytopenia,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,idiopathic thrombocytopenia,15,1,6.67,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,thrombocytopenia due to platelet alloimmunization,15,1,6.67,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_tp_thrombocytopenia,12,1,8.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
cinacalcet,myocardial infarction,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,old myocardial infarction,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
cinacalcet,acute myocardial infarction,6,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinacalcet,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
desflurane,hypertension,8,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,prehypertension,17,2,11.76,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,hypertensive disease,15,2,13.33,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,genetic hypertension,8,2,25.0,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,pulmonary hypertension,22,2,9.09,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,essential hypertension,7,1,14.29,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,"hypertension, renovascular",14,2,14.29,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,idiopathic pulmonary hypertension,11,1,9.09,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,renal hypertension,3,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,ocular hypertension,19,2,10.53,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,"hypertension, portal",0,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_tp_hypertension,6,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Sig_hypertension,19,2,10.53,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,pancreatitis,10,1,10.0,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,acute pancreatitis,17,2,11.76,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,pancreatitis idiopathic,10,1,10.0,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,adenocarcinoma of pancreas,3,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_tp_pancreatitis,4,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Sig_pancreatitis,17,2,11.76,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,thrombocytopenia 5,8,1,12.5,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,thrombocytopenia 6,17,2,11.76,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,macrothrombocytopenia,5,1,20.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,idiopathic thrombocytopenia,15,2,13.33,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,thrombocytopenia due to platelet alloimmunization,15,1,6.67,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_tp_thrombocytopenia,12,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Sig_thrombocytopenia,14,2,14.29,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,myocardial infarction,5,0,0.0,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,old myocardial infarction,15,1,6.67,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
desflurane,acute myocardial infarction,6,1,16.67,7.0,23.0,,,0.0,0.0,,,0.0,0.0,,
desflurane,phen_sig_tp_noFP_Sig_myocardial infarction,17,2,11.76,7.0,23.0,,,1.0,0.0,,,14.29,0.0,,
pindolol,hypertension,8,1,12.5,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,prehypertension,17,6,35.29,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,hypertensive disease,15,4,26.67,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,genetic hypertension,8,4,50.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,pulmonary hypertension,22,4,18.18,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,essential hypertension,7,2,28.57,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,"hypertension, renovascular",14,7,50.0,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,idiopathic pulmonary hypertension,11,4,36.36,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0
pindolol,renal hypertension,3,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,ocular hypertension,19,6,31.58,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,"hypertension, portal",0,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_tp_hypertension,6,1,16.67,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Sig_hypertension,19,6,31.58,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,pancreatitis,10,2,20.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,acute pancreatitis,17,5,29.41,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,pancreatitis idiopathic,10,2,20.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,adenocarcinoma of pancreas,3,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_tp_pancreatitis,4,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Sig_pancreatitis,17,6,35.29,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,thrombocytopenia 5,8,2,25.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,thrombocytopenia 6,17,5,29.41,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,macrothrombocytopenia,5,1,20.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,idiopathic thrombocytopenia,15,5,33.33,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,thrombocytopenia due to platelet alloimmunization,15,4,26.67,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,phen_tp_thrombocytopenia,12,1,8.33,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Sig_thrombocytopenia,14,6,42.86,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,16.67,0.0,25.0,0.0
pindolol,myocardial infarction,5,0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,old myocardial infarction,15,5,33.33,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
pindolol,acute myocardial infarction,6,1,16.67,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pindolol,phen_sig_tp_noFP_Sig_myocardial infarction,17,6,35.29,6.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,33.33,0.0,25.0,0.0
insulin human,hypertension,8,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,prehypertension,17,1,5.88,8.0,,,,1.0,,,,12.5,,,
insulin human,hypertensive disease,15,1,6.67,8.0,,,,1.0,,,,12.5,,,
insulin human,genetic hypertension,8,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,pulmonary hypertension,22,1,4.55,8.0,,,,1.0,,,,12.5,,,
insulin human,essential hypertension,7,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,"hypertension, renovascular",14,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,idiopathic pulmonary hypertension,11,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,renal hypertension,3,1,33.33,8.0,,,,1.0,,,,12.5,,,
insulin human,ocular hypertension,19,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,"hypertension, portal",0,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,phen_tp_hypertension,6,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,8.0,,,,1.0,,,,12.5,,,
insulin human,pancreatitis,10,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,acute pancreatitis,17,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,pancreatitis idiopathic,10,1,10.0,8.0,,,,1.0,,,,12.5,,,
insulin human,adenocarcinoma of pancreas,3,1,33.33,8.0,,,,1.0,,,,12.5,,,
insulin human,phen_tp_pancreatitis,4,1,25.0,8.0,,,,1.0,,,,12.5,,,
insulin human,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,8.0,,,,1.0,,,,12.5,,,
insulin human,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,thrombocytopenia 5,8,1,12.5,8.0,,,,1.0,,,,12.5,,,
insulin human,thrombocytopenia 6,17,1,5.88,8.0,,,,1.0,,,,12.5,,,
insulin human,macrothrombocytopenia,5,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,idiopathic thrombocytopenia,15,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,thrombocytopenia due to platelet alloimmunization,15,1,6.67,8.0,,,,1.0,,,,12.5,,,
insulin human,phen_tp_thrombocytopenia,12,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,phen_sig_tp_noFP_Sig_thrombocytopenia,14,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,myocardial infarction,5,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,old myocardial infarction,15,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,acute myocardial infarction,6,0,0.0,8.0,,,,0.0,,,,0.0,,,
insulin human,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,8.0,,,,0.0,,,,0.0,,,
phenytoin,hypertension,8,1,12.5,29.0,10.0,4.0,,1.0,0.0,0.0,,3.45,0.0,0.0,
phenytoin,prehypertension,17,6,35.29,29.0,10.0,4.0,,6.0,0.0,0.0,,20.69,0.0,0.0,
phenytoin,hypertensive disease,15,6,40.0,29.0,10.0,4.0,,6.0,0.0,0.0,,20.69,0.0,0.0,
phenytoin,genetic hypertension,8,1,12.5,29.0,10.0,4.0,,1.0,0.0,0.0,,3.45,0.0,0.0,
phenytoin,pulmonary hypertension,22,6,27.27,29.0,10.0,4.0,,6.0,0.0,1.0,,20.69,0.0,25.0,
phenytoin,essential hypertension,7,3,42.86,29.0,10.0,4.0,,3.0,0.0,1.0,,10.34,0.0,25.0,
phenytoin,"hypertension, renovascular",14,4,28.57,29.0,10.0,4.0,,4.0,0.0,0.0,,13.79,0.0,0.0,
phenytoin,idiopathic pulmonary hypertension,11,2,18.18,29.0,10.0,4.0,,2.0,0.0,0.0,,6.9,0.0,0.0,
phenytoin,renal hypertension,3,2,66.67,29.0,10.0,4.0,,2.0,0.0,0.0,,6.9,0.0,0.0,
phenytoin,ocular hypertension,19,8,42.11,29.0,10.0,4.0,,8.0,0.0,0.0,,27.59,0.0,0.0,
phenytoin,"hypertension, portal",0,0,0.0,29.0,10.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
phenytoin,phen_tp_hypertension,6,4,66.67,29.0,10.0,4.0,,4.0,0.0,1.0,,13.79,0.0,25.0,
phenytoin,phen_sig_tp_noFP_Dis_hypertension,5,3,60.0,29.0,10.0,4.0,,3.0,0.0,1.0,,10.34,0.0,25.0,
phenytoin,phen_sig_tp_noFP_Sig_hypertension,19,8,42.11,29.0,10.0,4.0,,8.0,0.0,1.0,,27.59,0.0,25.0,
phenytoin,pancreatitis,10,4,40.0,29.0,10.0,4.0,,4.0,0.0,0.0,,13.79,0.0,0.0,
phenytoin,acute pancreatitis,17,5,29.41,29.0,10.0,4.0,,5.0,0.0,2.0,,17.24,0.0,50.0,
phenytoin,pancreatitis idiopathic,10,5,50.0,29.0,10.0,4.0,,5.0,0.0,0.0,,17.24,0.0,0.0,
phenytoin,adenocarcinoma of pancreas,3,2,66.67,29.0,10.0,4.0,,2.0,0.0,0.0,,6.9,0.0,0.0,
phenytoin,phen_tp_pancreatitis,4,3,75.0,29.0,10.0,4.0,,3.0,0.0,0.0,,10.34,0.0,0.0,
phenytoin,phen_sig_tp_noFP_Dis_pancreatitis,4,3,75.0,29.0,10.0,4.0,,3.0,0.0,0.0,,10.34,0.0,0.0,
phenytoin,phen_sig_tp_noFP_Sig_pancreatitis,17,5,29.41,29.0,10.0,4.0,,5.0,0.0,0.0,,17.24,0.0,0.0,
phenytoin,thrombocytopenia 5,8,5,62.5,29.0,10.0,4.0,,5.0,0.0,2.0,,17.24,0.0,50.0,
phenytoin,thrombocytopenia 6,17,5,29.41,29.0,10.0,4.0,,5.0,0.0,0.0,,17.24,0.0,0.0,
phenytoin,macrothrombocytopenia,5,3,60.0,29.0,10.0,4.0,,3.0,0.0,2.0,,10.34,0.0,50.0,
phenytoin,idiopathic thrombocytopenia,15,5,33.33,29.0,10.0,4.0,,5.0,0.0,0.0,,17.24,0.0,0.0,
phenytoin,thrombocytopenia due to platelet alloimmunization,15,2,13.33,29.0,10.0,4.0,,2.0,0.0,0.0,,6.9,0.0,0.0,
phenytoin,phen_tp_thrombocytopenia,12,3,25.0,29.0,10.0,4.0,,3.0,0.0,1.0,,10.34,0.0,25.0,
phenytoin,phen_sig_tp_noFP_Sig_thrombocytopenia,14,5,35.71,29.0,10.0,4.0,,5.0,0.0,1.0,,17.24,0.0,25.0,
phenytoin,myocardial infarction,5,3,60.0,29.0,10.0,4.0,,3.0,0.0,1.0,,10.34,0.0,25.0,
phenytoin,old myocardial infarction,15,7,46.67,29.0,10.0,4.0,,7.0,0.0,0.0,,24.14,0.0,0.0,
phenytoin,acute myocardial infarction,6,3,50.0,29.0,10.0,4.0,,3.0,0.0,1.0,,10.34,0.0,25.0,
phenytoin,phen_sig_tp_noFP_Sig_myocardial infarction,17,6,35.29,29.0,10.0,4.0,,6.0,0.0,1.0,,20.69,0.0,25.0,
tretinoin,hypertension,8,1,12.5,29.0,3.0,,1.0,1.0,0.0,,0.0,3.45,0.0,,0.0
tretinoin,prehypertension,17,3,17.65,29.0,3.0,,1.0,3.0,0.0,,0.0,10.34,0.0,,0.0
tretinoin,hypertensive disease,15,3,20.0,29.0,3.0,,1.0,3.0,0.0,,0.0,10.34,0.0,,0.0
tretinoin,genetic hypertension,8,1,12.5,29.0,3.0,,1.0,1.0,0.0,,0.0,3.45,0.0,,0.0
tretinoin,pulmonary hypertension,22,4,18.18,29.0,3.0,,1.0,4.0,0.0,,0.0,13.79,0.0,,0.0
tretinoin,essential hypertension,7,2,28.57,29.0,3.0,,1.0,2.0,0.0,,0.0,6.9,0.0,,0.0
tretinoin,"hypertension, renovascular",14,2,14.29,29.0,3.0,,1.0,2.0,0.0,,0.0,6.9,0.0,,0.0
tretinoin,idiopathic pulmonary hypertension,11,0,0.0,29.0,3.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tretinoin,renal hypertension,3,1,33.33,29.0,3.0,,1.0,1.0,0.0,,0.0,3.45,0.0,,0.0
tretinoin,ocular hypertension,19,4,21.05,29.0,3.0,,1.0,4.0,0.0,,0.0,13.79,0.0,,0.0
tretinoin,"hypertension, portal",0,0,0.0,29.0,3.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tretinoin,phen_tp_hypertension,6,1,16.67,29.0,3.0,,1.0,1.0,0.0,,0.0,3.45,0.0,,0.0
