Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
estazolam,ocular hypertension,19,1,5.26,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,"hypertension, portal",0,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_tp_hypertension,6,1,16.67,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,pancreatitis,10,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,acute pancreatitis,17,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,pancreatitis idiopathic,10,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,adenocarcinoma of pancreas,3,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_tp_pancreatitis,4,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,thrombocytopenia 5,8,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,thrombocytopenia 6,17,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,macrothrombocytopenia,5,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,idiopathic thrombocytopenia,15,1,6.67,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,thrombocytopenia due to platelet alloimmunization,15,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_tp_thrombocytopenia,12,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,myocardial infarction,5,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
