TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001223"	"transcription coactivator binding"	-4.22767829327708	3.4154741681092355	0.005679487487589218	0.895913151595754	0.31996598	null
"GO:0001530"	"lipopolysaccharide binding"	-3.294992040666664	3.977311973396926	0.02071419533329042	0.9734131273085179	0.57346957	null
"GO:0001540"	"amyloid-beta binding"	-4.20342566678957	3.9843022319799033	0.021050337175369103	0.953592987950487	0.69259798	null
"GO:0001587"	"Gq/11-coupled serotonin receptor activity"	-3.0915149811213505	2.1760912590556813	0.00032522814590729953	0.784608703583458	0.67616756	null
"GO:0001609"	"G protein-coupled adenosine receptor activity"	-5.607303046740334	3.525692524505011	0.007320907391765655	0.7627529487944126	0.53199628	null
"GO:0001614"	"purinergic nucleotide receptor activity"	-4.6020599913279625	4.061866972138563	0.025166983371215864	0.7626236877540601	0.88040264	1609
"GO:0001637"	"G protein-coupled chemoattractant receptor activity"	-3.294992040666664	4.268484363846722	0.04050072649201304	0.7447404087595771	0.6099683	null
"GO:0001664"	"G protein-coupled receptor binding"	-3.8239087409443187	5.045276025493796	0.24225567939472115	0.8613513945134968	0.62145738	null
"GO:0005125"	"cytokine activity"	-3.0315170514460648	4.956398968116043	0.19742221552266795	0.74654989368641	0.72904746	1664
"GO:0005126"	"cytokine receptor binding"	-3.0315170514460648	4.842172229385616	0.15176367622005793	0.8657710256485511	0.71372372	1664
"GO:0003824"	"catalytic activity"	-3.987162775294828	7.442996037341388	60.53379149902957	1	-0	null
"GO:0003916"	"DNA topoisomerase activity"	-3.826813731587726	4.861779267181942	0.15877245190132194	0.9868175846194077	0.03232017	null
"GO:0003918"	"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"	-3.0915149811213505	4.651956069533075	0.09793732670278271	0.9871048926871565	0.5431887	null
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	-6.931814138253839	4.281714970027296	0.041753618812488145	0.9472443383880246	0.67472443	null
"GO:0004629"	"phospholipase C activity"	-6.6777807052660805	4.3542813538497285	0.04934736860853844	0.9466766181519782	0.7440697	4435
"GO:0004672"	"protein kinase activity"	-5.454692883534176	6.2106261364593225	3.545093744612045	0.9492892539430146	0.64041106	null
"GO:0016301"	"kinase activity"	-4.094204119632131	6.425638868946679	5.816216455963574	0.9525522280533968	0.78784155	4672
"GO:0016773"	"phosphotransferase activity, alcohol group as acceptor"	-4.671620396561262	6.326354707261492	4.627605805937937	0.9535980977858178	0.72701747	4672
"GO:0004713"	"protein tyrosine kinase activity"	-10.434152181326482	5.136171804942558	0.2986554784692092	0.9578219411673465	-0	null
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	-9.645891560852599	4.7660259742828455	0.12735628610237051	0.7246973344927242	0.67636145	null
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	-3.2097148359667584	4.442558154495923	0.060470607746414946	0.9586022680357604	0.82352682	4714
"GO:0004879"	"nuclear receptor activity"	-15.920818753952375	4.683128122999577	0.1052254930060342	0.7485576202107265	0.66431394	null
"GO:0003707"	"nuclear steroid receptor activity"	-9.882728704344236	3.9557358422776656	0.019710135285522918	0.7679719819629587	0.89006823	4879
"GO:0004896"	"cytokine receptor activity"	-6.568636235841013	4.7442147248141655	0.12111801737080634	0.7315338093433161	0.67314948	null
"GO:0004950"	"chemokine receptor activity"	-3.294992040666664	4.268437552261454	0.040496361013544487	0.7298047844546551	0.99706594	4896
"GO:0016493"	"C-C chemokine receptor activity"	-3.3726341434072675	4.251321812315588	0.038931336982567746	0.7304012114593493	0.90407493	4896
"GO:0016494"	"C-X-C chemokine receptor activity"	-3.826813731587726	3.2645817292380777	0.004011874712601454	0.7609420236793788	0.78206968	4896
"GO:0004918"	"interleukin-8 receptor activity"	-3.563837352959244	1.568201724066995	7.857861243397841E-05	0.8002716363880256	0.3973536	null
"GO:0004935"	"adrenergic receptor activity"	-10.958607314841775	3.894039000804609	0.017099579161327413	0.7379607122062622	0.56800418	null
"GO:0004936"	"alpha-adrenergic receptor activity"	-5.97061622231479	3.7798128631705805	0.013144455668817168	0.7392226030754715	0.85798328	4935
"GO:0004937"	"alpha1-adrenergic receptor activity"	-5.347753658996677	3.4771212547196626	0.006546034963597258	0.7484313557241088	0.93397151	4935
"GO:0004939"	"beta-adrenergic receptor activity"	-5.347753658996677	3.2619761913978125	0.003987864581024405	0.7546004157723446	0.90969451	4935
"GO:0004993"	"G protein-coupled serotonin receptor activity"	-10.067019178076801	4.323994202181974	0.0460230567547343	0.7241650309898033	0.88088105	4935
"GO:0004949"	"cannabinoid receptor activity"	-3.0915149811213505	3.115943176939055	0.0028484747007317176	0.7786302025329437	0.49694195	null
"GO:0004953"	"icosanoid receptor activity"	-5.503070351926785	3.783045572114693	0.013242678934359639	0.7601904011412627	0.55665173	null
"GO:0004954"	"prostanoid receptor activity"	-4.655607726314889	3.667452952889954	0.0101475547001546	0.7587890528682585	0.54530095	null
"GO:0004955"	"prostaglandin receptor activity"	-3.306273051076353	3.601842789782098	0.008724408719405882	0.7606761713456299	0.96300944	4954
"GO:0004985"	"G protein-coupled opioid receptor activity"	-3.6270879970298933	3.4536240735914507	0.006201162164581463	0.7696614412072975	0.52547785	null
"GO:0004992"	"platelet activating factor receptor activity"	-3.563837352959244	2.8382192219076257	0.0015017245931826986	0.7855048732061031	0.47568513	null
