TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0005575"	"cellular_component"	-8.22112552799726	7.602873379307559	100	1	-0	null
"GO:0005576"	"extracellular region"	-13.218963061378869	6.174372980219259	3.728201021160707	0.9999323733002606	5.311E-05	null
"GO:0005615"	"extracellular space"	-11.712198270069774	5.883056976362223	1.906263969905416	0.9505289609434849	4.811E-05	null
"GO:0005641"	"nuclear envelope lumen"	-3.2932822176632413	2.718501688867274	0.0013025581918496038	0.8486471203296347	0.44717144	null
"GO:0005739"	"mitochondrion"	-11.872895201635192	6.265495171559725	4.598556930214697	0.8756208839619992	0.24719214	null
"GO:0005783"	"endoplasmic reticulum"	-6.231361898752386	6.0904354741384665	3.072994288082703	0.8416413902205996	0.26239778	null
"GO:0005788"	"endoplasmic reticulum lumen"	-3.9430951486635273	4.643136711043438	0.10971183145795313	0.8206896378729999	0.60883935	null
"GO:0005789"	"endoplasmic reticulum membrane"	-5.97469413473523	5.845714920277423	1.7492058948992744	0.7609769883646996	0.66406779	null
"GO:0005790"	"smooth endoplasmic reticulum"	-4.686132779630847	3.794139355767774	0.015530885413930912	0.8912430865534422	0.40803148	null
"GO:0005886"	"plasma membrane"	-50.99139982823808	6.8250353366409255	16.678688713171073	0.8406913506226856	0.42008808	null
"GO:0005891"	"voltage-gated calcium channel complex"	-3.616184634019569	4.397314173908845	0.06229072824356641	0.7545813330781995	0.68034432	null
"GO:0034704"	"calcium channel complex"	-3.0550240915879523	4.588294121462958	0.09669623082828353	0.7968838543774788	0.70214837	5891
"GO:0005892"	"acetylcholine-gated channel complex"	-10.44490555142168	3.516667559099043	0.008197133448708715	0.7622572310161906	0.68390879	null
"GO:0005902"	"microvillus"	-3.485452247339714	4.228990310840723	0.04227574882436013	0.9156678715107035	0.62502513	null
"GO:0005955"	"calcineurin complex"	-4.844663962534939	3.8887409606828927	0.01931129855694269	0.8865678437456707	0.32931736	null
"GO:0009897"	"external side of plasma membrane"	-6.527243550682788	5.049427364190323	0.27960833921709516	0.875545398255862	0.28009622	null
"GO:0009986"	"cell surface"	-11.892790030352131	5.394946984319184	0.6195435881011558	0.9999440616309454	3.481E-05	null
"GO:0016020"	"membrane"	-25.249491605148652	7.300683746686734	49.86666869619539	0.9999021782260005	8.87E-05	null
"GO:0016324"	"apical plasma membrane"	-15.88941028970075	4.8649617539821	0.18284473468923318	0.8054054871014291	0.26935919	null
"GO:0009925"	"basal plasma membrane"	-7.548213564475709	4.75048525243288	0.14047665894322856	0.8045378246250049	0.97940693	16324
"GO:0016323"	"basolateral plasma membrane"	-9.18309616062434	4.703961652091485	0.1262059112436349	0.8059329635590846	0.72977042	16324
"GO:0031253"	"cell projection membrane"	-4.51427857351842	4.843126839694776	0.17387904200088908	0.7314124529800871	0.74824376	16324
"GO:0042734"	"presynaptic membrane"	-10.3767507096021	4.554573951206435	0.08947227304015211	0.7361899248724967	0.71092891	16324
"GO:0043679"	"axon terminus"	-5.73754891026957	4.474463945321284	0.07440052691223714	0.8030935737332944	0.75599041	16324
"GO:0044305"	"calyx of Held"	-3.7471469690201067	2.630427875025024	0.001063007260015194	0.8450911201688016	0.76866116	16324
"GO:0045211"	"postsynaptic membrane"	-9.246416941107093	5.000073823787079	0.24957214581614942	0.7215246515825279	0.87557802	16324
"GO:0097060"	"synaptic membrane"	-9.856985199745905	5.120702226532808	0.32947735351616475	0.7206821861737794	0.78803161	16324
